sample, time_ms
1, -1500.0000
2, -1499.0234
3, -1498.0469
4, -1497.0703
5, -1496.0938
6, -1495.1172
7, -1494.1406
8, -1493.1641
9, -1492.1875
10, -1491.2109
11, -1490.2344
12, -1489.2578
13, -1488.2813
14, -1487.3047
15, -1486.3281
16, -1485.3516
17, -1484.3750
18, -1483.3984
19, -1482.4219
20, -1481.4453
21, -1480.4688
22, -1479.4922
23, -1478.5156
24, -1477.5391
25, -1476.5625
26, -1475.5859
27, -1474.6094
28, -1473.6328
29, -1472.6563
30, -1471.6797
31, -1470.7031
32, -1469.7266
33, -1468.7500
34, -1467.7734
35, -1466.7969
36, -1465.8203
37, -1464.8438
38, -1463.8672
39, -1462.8906
40, -1461.9141
41, -1460.9375
42, -1459.9609
43, -1458.9844
44, -1458.0078
45, -1457.0313
46, -1456.0547
47, -1455.0781
48, -1454.1016
49, -1453.1250
50, -1452.1484
51, -1451.1719
52, -1450.1953
53, -1449.2188
54, -1448.2422
55, -1447.2656
56, -1446.2891
57, -1445.3125
58, -1444.3359
59, -1443.3594
60, -1442.3828
61, -1441.4063
62, -1440.4297
63, -1439.4531
64, -1438.4766
65, -1437.5000
66, -1436.5234
67, -1435.5469
68, -1434.5703
69, -1433.5938
70, -1432.6172
71, -1431.6406
72, -1430.6641
73, -1429.6875
74, -1428.7109
75, -1427.7344
76, -1426.7578
77, -1425.7813
78, -1424.8047
79, -1423.8281
80, -1422.8516
81, -1421.8750
82, -1420.8984
83, -1419.9219
84, -1418.9453
85, -1417.9688
86, -1416.9922
87, -1416.0156
88, -1415.0391
89, -1414.0625
90, -1413.0859
91, -1412.1094
92, -1411.1328
93, -1410.1563
94, -1409.1797
95, -1408.2031
96, -1407.2266
97, -1406.2500
98, -1405.2734
99, -1404.2969
100, -1403.3203
101, -1402.3438
102, -1401.3672
103, -1400.3906
104, -1399.4141
105, -1398.4375
106, -1397.4609
107, -1396.4844
108, -1395.5078
109, -1394.5313
110, -1393.5547
111, -1392.5781
112, -1391.6016
113, -1390.6250
114, -1389.6484
115, -1388.6719
116, -1387.6953
117, -1386.7188
118, -1385.7422
119, -1384.7656
120, -1383.7891
121, -1382.8125
122, -1381.8359
123, -1380.8594
124, -1379.8828
125, -1378.9063
126, -1377.9297
127, -1376.9531
128, -1375.9766
129, -1375.0000
130, -1374.0234
131, -1373.0469
132, -1372.0703
133, -1371.0938
134, -1370.1172
135, -1369.1406
136, -1368.1641
137, -1367.1875
138, -1366.2109
139, -1365.2344
140, -1364.2578
141, -1363.2813
142, -1362.3047
143, -1361.3281
144, -1360.3516
145, -1359.3750
146, -1358.3984
147, -1357.4219
148, -1356.4453
149, -1355.4688
150, -1354.4922
151, -1353.5156
152, -1352.5391
153, -1351.5625
154, -1350.5859
155, -1349.6094
156, -1348.6328
157, -1347.6563
158, -1346.6797
159, -1345.7031
160, -1344.7266
161, -1343.7500
162, -1342.7734
163, -1341.7969
164, -1340.8203
165, -1339.8438
166, -1338.8672
167, -1337.8906
168, -1336.9141
169, -1335.9375
170, -1334.9609
171, -1333.9844
172, -1333.0078
173, -1332.0313
174, -1331.0547
175, -1330.0781
176, -1329.1016
177, -1328.1250
178, -1327.1484
179, -1326.1719
180, -1325.1953
181, -1324.2188
182, -1323.2422
183, -1322.2656
184, -1321.2891
185, -1320.3125
186, -1319.3359
187, -1318.3594
188, -1317.3828
189, -1316.4063
190, -1315.4297
191, -1314.4531
192, -1313.4766
193, -1312.5000
194, -1311.5234
195, -1310.5469
196, -1309.5703
197, -1308.5938
198, -1307.6172
199, -1306.6406
200, -1305.6641
201, -1304.6875
